ip_request_rate,method_encoded,avg_time_between_requests,unique_endpoints,is_sensitive_endpoint
111,3,0.101,1,0
12,1,0.887,5,0
79,1,0.197,1,0
8,0,3.012,3,0
9,1,2.179,5,0
12,1,2.488,5,0
56,1,0.016,1,1
3,0,2.84,7,0
164,2,0.164,1,0
3,1,1.571,2,0
134,3,0.144,1,0
3,1,3.169,7,0
110,3,0.07,1,0
14,1,1.575,4,0
10,1,4.575,4,1
14,0,0.742,2,1
24,1,0.124,1,0
10,1,1.798,6,0
7,1,3.94,4,0
10,0,4.411,6,0
10,1,2.719,3,0
56,2,0.11,1,1
2,1,1.868,6,1
3,0,4.426,7,0
8,1,4.543,3,0
7,0,1.424,7,1
6,1,4.364,2,0
134,2,0.034,1,1
9,1,0.898,6,0
11,0,2.24,2,0
6,0,2.75,6,0
2,1,1.842,6,0
11,1,1.874,5,0
9,1,4.145,4,0
4,1,2.374,2,1
96,3,0.176,1,0
2,0,4.004,5,1
14,0,4.989,3,0
12,1,1.646,5,1
13,0,2.549,7,1
150,0,0.086,1,0
14,1,1.558,5,0
14,1,4.99,5,0
6,0,1.328,4,0
1,0,2.46,3,0
6,0,1.051,5,0
7,1,2.662,7,0
14,0,3.995,5,0
13,0,3.427,2,0
9,1,4.626,4,1
8,0,4.641,3,0
9,1,3.84,2,0
13,1,4.908,4,0
8,1,1.013,6,0
2,0,1.515,6,0
5,1,1.958,2,0
9,1,2.493,7,0
10,1,3.595,6,0
2,1,2.591,2,0
93,1,0.055,1,0
24,2,0.033,1,0
11,1,2.813,2,0
10,0,4.703,3,0
1,0,2.52,7,0
14,0,1.053,4,0
2,0,2.478,6,0
10,1,0.56,2,0
7,1,3.466,7,0
4,0,3.922,4,1
8,0,4.281,2,0
6,0,4.068,3,0
34,0,0.125,1,0
7,0,1.636,6,0
10,0,2.657,4,0
11,0,3.958,6,0
10,0,4.446,6,0
7,1,0.793,2,1
5,1,0.91,5,0
180,2,0.097,1,1
8,1,2.169,6,0
13,0,4.388,6,0
184,3,0.156,1,0
12,0,1.93,6,0
10,1,4.942,7,0
114,1,0.126,1,1
8,0,1.306,4,0
6,0,0.73,6,1
5,1,4.132,2,0
7,1,2.248,3,0
13,1,1.848,2,0
7,1,2.105,3,0
13,0,3.647,5,0
4,1,2.09,3,0
10,1,4.729,7,1
9,0,4.337,7,0
2,0,2.779,6,0
2,0,3.577,5,0
12,1,1.787,6,1
2,1,1.263,5,1
90,1,0.056,1,1
14,1,3.051,3,0
7,0,3.853,2,0
10,0,3.629,3,0
14,1,1.794,6,0
137,0,0.07,1,0
13,0,4.482,7,0
8,1,3.301,3,0
13,0,3.296,4,0
5,0,3.473,6,1
9,0,4.238,5,1
12,0,3.794,4,0
13,0,2.568,7,1
145,1,0.012,1,0
14,0,4.183,7,0
11,1,1.067,6,0
29,2,0.072,1,1
4,1,0.83,7,0
10,0,1.071,2,0
6,0,4.652,7,1
12,1,4.942,4,0
1,1,4.474,5,0
119,3,0.142,1,0
6,1,1.237,2,0
10,0,2.772,3,0
12,1,4.563,6,0
8,0,2.927,7,0
2,1,4.648,4,0
3,0,4.0,6,0
14,1,0.561,2,1
3,0,2.506,6,0
10,1,3.941,5,0
4,0,2.816,2,0
8,0,1.213,4,0
7,0,4.387,5,0
1,0,2.356,3,0
1,1,2.981,2,0
13,1,4.221,2,0
166,3,0.096,1,0
13,0,4.008,7,0
8,1,4.383,2,0
162,3,0.182,1,0
6,1,2.066,4,0
6,1,1.313,3,0
1,0,3.936,2,0
11,0,0.539,2,0
13,1,1.805,6,0
10,0,0.589,3,0
1,0,1.482,6,0
8,1,0.577,5,0
6,1,2.873,4,0
9,0,4.413,3,0
14,1,0.545,7,0
5,1,4.127,3,0
7,0,0.537,3,0
10,1,4.861,7,1
3,1,4.932,5,0
8,0,2.792,7,1
5,0,1.915,2,0
3,0,1.494,5,0
5,0,4.872,5,0
5,0,2.227,4,0
4,1,1.469,5,0
10,0,0.7,4,0
10,1,2.29,5,0
9,0,4.99,2,0
3,1,4.395,5,0
13,0,3.36,3,0
11,0,2.477,2,0
14,1,1.249,4,0
1,1,3.091,4,0
14,0,1.215,3,0
94,3,0.107,1,1
8,1,1.67,6,1
12,1,3.946,3,0
9,1,2.257,6,0
12,1,4.979,3,1
12,1,2.074,2,1
11,0,1.314,6,0
14,0,0.649,6,0
3,1,2.923,4,0
185,2,0.193,1,1
88,1,0.08,1,0
11,0,2.445,7,1
11,0,1.946,7,0
14,0,1.537,6,0
4,0,3.461,4,0
13,1,0.604,3,0
10,1,0.572,6,0
12,0,0.629,3,0
12,0,3.688,7,1
7,1,1.934,2,1
11,0,2.598,2,0
4,1,2.064,6,0
173,0,0.024,1,1
3,0,1.472,7,0
1,0,4.043,3,1
14,0,1.931,6,0
7,1,2.628,5,0
38,1,0.112,1,1
6,1,2.808,7,0
13,1,2.252,7,0
13,1,1.432,6,0
13,1,0.516,4,0
8,0,3.877,4,0
12,1,0.503,5,0
6,0,3.062,4,0
10,0,3.253,2,0
7,1,0.948,4,0
13,1,3.378,2,0
2,1,3.07,6,0
121,2,0.024,1,0
5,0,4.178,5,0
4,0,0.729,5,1
14,1,0.944,3,0
2,0,3.167,2,0
1,1,1.717,5,0
10,1,0.785,5,0
1,1,3.693,5,0
2,0,4.556,4,0
9,0,2.462,2,0
12,1,1.805,6,0
14,0,1.332,4,1
2,1,4.432,5,0
2,0,4.267,3,0
2,1,4.562,2,0
13,0,1.602,7,0
7,0,3.935,2,0
1,0,2.143,7,1
13,0,4.024,2,0
20,1,0.126,1,0
4,1,4.987,2,0
8,0,4.403,2,0
8,0,3.933,5,0
14,1,0.759,2,0
5,1,1.908,2,0
10,0,3.72,4,0
13,0,2.962,5,0
2,1,1.272,4,0
2,1,4.674,6,0
6,0,1.971,6,1
7,0,2.201,3,0
7,0,1.418,5,0
8,1,1.177,3,0
116,3,0.065,1,0
118,2,0.014,1,0
1,1,1.582,2,0
87,2,0.192,1,1
5,0,0.832,6,1
1,0,2.053,3,0
1,0,3.716,2,0
2,1,3.469,6,0
85,2,0.123,1,1
128,3,0.125,1,0
14,0,4.795,5,1
11,1,2.235,6,0
1,0,4.415,4,0
4,0,1.082,7,0
12,0,1.282,3,0
7,0,2.287,5,0
13,1,3.873,3,1
44,0,0.049,1,0
3,0,1.798,6,0
2,0,4.792,2,0
14,0,2.571,4,0
180,2,0.11,1,1
5,0,3.934,3,0
84,3,0.091,1,0
14,0,4.268,3,0
10,0,2.514,6,0
6,0,1.768,4,0
10,1,1.34,2,0
